code,smile,id
vat-d283,ClC=1C=CC=2CC(=O)NC2C1,283
vat-d284,C1=CN(C=N1)C=2C=CC=CC2,284
vat-d285,C(C=1C=CC=CC1)N2C=CN=C2,285
vat-d286,NC=1C=CC=2C=CS(=O)(=O)C2C1,286
vat-d287,CC=1C=C2N=CNC2=CC1C,287
vat-d288,OC(=O)CNC1CCCC1,288
vat-d289,OC(=O)C=1C=CC=C2OCOC21,289
vat-d290,OC(=O)CNC(=O)NC1CCCCC1,290
vat-d291,NC=1C=CC=2OC(=O)C=CC2C1,291
vat-d292,OC=1C=CN=C2C=CC=CC12,292
vat-d293,OC(=O)CNC(=O)C=1C=CC=C(O)C1,293
vat-d294,CCC=1C=CC(=CC1)S(=O)(=O)N,294
vat-d295,COC(=O)C1=CNC=2N=CC=CC12,295
vat-d296,CCC=1C=CC(=CC1)C(=O)O,296
vat-d297,CC=1C=CC(=CC1)C(=O)O,297
vat-d298,OC(=O)C=1C=CC=C(Cl)C1,298
vat-d299,O=C1C=CC=2C=CC=CC2N1,299
vat-d300,OCC=1C=CC(Cl)=CC1,300
vat-d302,NC=1C=CC=C2C=NNC12,302
vat-d303,FC(F)(F)C=1C=CC=2NCC(=O)NC2C1,303
vat-d304,NS(=O)(=O)C=1C=CC=CC1,304
vat-d305,OC(=O)C1=CNC(=O)NC1=O,305
vat-d306,OC(=O)CCC1=NC=2C=C(Cl)C=CC2S1,306
vat-d307,OC(=O)C=1C=CC=NC1C(=O)O,307
vat-d308,OC(=O)C=1C=CC(O)=CC1,308
vat-d309,CC=1C=CC=C(N)C1C(=O)O,309
vat-d310,CC=1C=CC(O)=C(CO)N1,310
vat-d311,OC(=O)C=1C=NC=2C=CC=CC2C1,311
vat-d312,OC=1C=CC(CC#N)=CC1,312
vat-d313,OC=1C=CC=2OCOC2C1,313
vat-d314,CC(C)(C)C=1C=CC(O)=C(O)C1,314
vat-d315,NS(=O)(=O)C=1C=CC=CC1Cl,315
vat-d318,OC=1C=CC=CC1C#N,318
vat-d319,CC=1C=CC=CC1S(=O)(=O)N,319
vat-d320,NC1(CCCCCC1)C(=O)O,320
vat-d321,CC(C)N1C=NC=2C=C(C=CC12)C(=O)O,321
vat-d322,C1CCN(CC1)C2CCNCC2,322
vat-d323,OC(=O)C(=O)NC=1C=CC=CC1,323
vat-d324,NC=1C=CC=C(OC=2C=CC=CN2)C1,324
vat-d325,CC=1N=C(N)C=CC1Br,325
vat-d326,ONC(=O)C=1C=CC=CC1O,326
vat-d327,OC=1C=CC=2C=NNC2C1,327
vat-d328,OC(=O)C=1C=NC=C(C1)C=2C=CC=CC2,328
vat-d330,CN1C=C(CCC(=O)O)C=2C=CC=CC12,330
vat-d331,CC1=NN(C)C(C)=C1CCO,331
vat-d332,CC=1C=C(C)N=C(N)C1,332
vat-d335,CNC1=NC=2C=CC=CC2N1,335
vat-d336,OC=1C=CC=2NC=CC2C1,336
vat-d339,OC(=O)CC=1C=CC=CC1O,339
vat-d340,OCC=1C=CC=CC1Br,340
vat-d342,NC(=O)C=1C=CC(O)=CC1,342
vat-d343,CCN1C(=O)NC=2C=CC=CC12,343
vat-d344,OC(=O)C=1C=CN=C(C1)C(=O)O,344
vat-d345,OC(=O)C=1C=CC(O)=C(F)C1,345
vat-d346,OC(=O)C1=CC=2SC=CC2S1,346
vat-d347,CS(=O)(=O)NC=1C=CC(=CC1)C(=O)O,347
vat-d348,CC1=CC=2C=CC=CC2NC1=O,348
vat-d349,OC(=O)C1CC=2C=CC=CC2C1,349
vat-d351,OC=1C(F)=CC=CC1F,351
vat-d352,OC(=O)C=1C=CC(O)=C(Cl)C1,352
vat-d353,OC(=O)CC=1C(Cl)=CC=CC1Cl,353
vat-d354,CC(=O)NC=1C=CC=C(N)C1,354
vat-d355,OC(=O)C1=CC=2C=C(F)C=CC2N1,355
vat-d356,COC=1C=CC(=CC1)C(=O)O,356
vat-d357,OC(=O)C(C=1C=CC=CC1)C=2C=CC=CC2,357
vat-d358,CC=1C=CC=2NC(=CC2C1)C(=O)O,358
vat-d359,OC(=O)C1=CC=2C=CC=CC2O1,359
