sample,SMILES_string,Number of molecules,# O atoms,# Cl atoms,# S atoms,# P atoms,# Br atoms,# I atoms,DK hit?,HG hit?,Use
160,['CC(C)c1ccc(cc1)C[NH+]2CCC(CC2)O'],1,1,0,0,0,0,0,0,0,0
161,['CCOc1ccc(cc1)C[NH+]2CCSCC2'],1,1,0,1,0,0,0,0,0,0
162,['C[NH+](C)CC(=O)c1ccc(cc1)c2ccccc2'],1,1,0,0,0,0,0,0,0,0
163,['Cc1ccc(cc1)C(=O)N[C@@H]2C[C@H]3CC[C@@H]2C3'],1,1,0,0,0,0,0,0,0,0
164,['Cc1c(non1)NC(=O)N2CCCCC2'],1,2,0,0,0,0,0,0,0,0
165,['CCCn1c2ccccc2nc1NC(=O)CC'],1,1,0,0,0,0,0,0,0,0
166,['COc1ccc(cc1OC)C[NH+]2CCOCC2'],1,3,0,0,0,0,0,0,0,0
167,['c1cnc(cn1)c2ncc(c(n2)N)C#N'],1,0,0,0,0,0,0,0,0,0
168,['c1ccnc(c1)c2ccc(s2)C(=S)N'],1,0,0,2,0,0,0,0,0,0
169,['CC(C)(C)NC(=O)c1ccc2c(c1)nns2'],1,1,0,1,0,0,0,0,0,0
170,['c1cc(ccc1c2ccc(o2)CO)N'],1,2,0,0,0,0,0,0,0,0
171,['CC(C)NC(=O)N[C@@H]1CCCCNC1=O'],1,2,0,0,0,0,0,0,0,0
172,['c1cc(ccc1c2cc(c(s2)C#N)N)F'],1,0,0,1,0,0,0,0,0,0
173,['c1cc(cnc1)C[NH2+][C@H]2CS(=O)(=O)C[C@@H]2O'],1,3,0,1,0,0,0,0,0,0
174,['Cc1ccc(cc1)c2cc(on2)C#N'],1,1,0,0,0,0,0,0,0,0
175,['COC(=O)c1cccc(c1)NS(=O)(=O)C'],1,4,0,1,0,0,0,1,0,1
176,['c1ccc(cc1)COc2cccc(c2)N'],1,1,0,0,0,0,0,0,0,0
177,['C[NH+]1CCC(CC1)[NH+]2CCC[C@H](C2)C(=O)[O-]'],1,2,0,0,0,0,0,0,0,0
178,['Cc1ccc(cc1)C[NH2+]Cc2ccncc2'],1,0,0,0,0,0,0,0,0,0
179,['c1cc(cc(c1)O)C[NH+]2CCSCC2'],1,1,0,1,0,0,0,0,0,0
180,['c1cc(ccc1CNC(=O)N2CCOCC2)C#N'],1,2,0,0,0,0,0,1,0,0
181,['CC[C@@H](C)[NH+]1CCN(CC1)C(=O)c2ccncc2'],1,1,0,0,0,0,0,0,0,0
182,['CCOC(=O)c1cc(no1)c2ccc(cc2)F'],1,3,0,0,0,0,0,0,0,0
183,['c1c(cncc1C(=O)[O-])C#CCC2CCCCC2'],1,2,0,0,0,0,0,0,0,0
184,['c1ccc(cc1)NC(=O)N2CCC(CC2)C(=O)N'],1,2,0,0,0,0,0,0,0,0
185,['CC(C)COc1ccc(cc1)c2csc(n2)N'],1,1,0,1,0,0,0,0,0,0
186,['c1ccc(cc1)[C@@H](CNC(=O)c2ccccc2)O'],1,2,0,0,0,0,0,0,0,0
187,['CC1(CC(=CC(=O)C1)Nc2ccccc2C#N)C'],1,1,0,0,0,0,0,0,0,0
188,['c1cc(cnc1)CNc2ccc(cc2N)C(=O)[O-]'],1,2,0,0,0,0,0,0,0,0
189,['CCC(=O)Nc1c2ccccc2oc1C(=O)N'],1,3,0,0,0,0,0,0,0,0
190,['c1cc(cc(c1)c2ccc(cc2)O)C#N'],1,1,0,0,0,0,0,0,0,0
191,['Cc1nnc(s1)Nc2cccc(c2)F'],1,0,0,1,0,0,0,0,0,0
192,['Cc1cc(nc(c1)NC(=O)Nc2ccccc2)C'],1,1,0,0,0,0,0,0,0,0
193,['CCCn1c(nnn1)NC(=O)c2ccco2'],1,2,0,0,0,0,0,1,0,0
194,['c1cc(cc(c1)c2cccc(c2)O)C#N'],1,1,0,0,0,0,0,0,0,0
195,['CCOC(=O)c1c(nc(s1)c2cnccn2)C'],1,2,0,1,0,0,0,0,0,0
196,['CC(C)Oc1ccc(cc1)[C@@H]2CC(=O)NC2'],1,2,0,0,0,0,0,0,0,0
197,['CC(=O)Nc1ccc(cc1)OC(=O)N2CCCC2'],1,3,0,0,0,0,0,0,0,0
198,['C[NH+](C)Cc1c[nH]c2c1cc(cc2)OC'],1,1,0,0,0,0,0,0,0,0
199,['C1COCC[NH+]1Cc2c(snn2)Cl'],1,1,1,1,0,0,0,0,0,0
200,['CCc1nnc(s1)NC(=O)c2cnccn2'],1,1,0,1,0,0,0,0,0,0
201,['c1ccc(cc1)CC[NH+]2CCC(CC2)C(=O)N'],1,1,0,0,0,0,0,0,0,0
202,['CC(=O)c1ccc(cc1)OCC(=O)[O-]'],1,4,0,0,0,0,0,0,1,0
203,['c1cc(ccc1NC(=O)Nc2ccc(cc2)F)F'],1,1,0,0,0,0,0,0,0,0
204,['CC(=O)Nc1nc2ccc(cc2s1)C(=O)NC'],1,2,0,1,0,0,0,0,0,0
205,['Cc1c(sc2c1c(ncn2)N(C)C)C'],1,0,0,1,0,0,0,1,1,0
206,['COc1ccc2c(c1)non2'],1,2,0,0,0,0,0,0,0,0
207,['c1ccc(cc1)[C@@H](C[NH+]2CCC(CC2)C(=O)N)O'],1,2,0,0,0,0,0,0,0,0
208,['c1cc(oc1)C(=O)NCCc2ccc(cc2)F'],1,2,0,0,0,0,0,0,0,0
